Date,Open,High,Low,Close,Adj Close,Volume
2020-07-13,3120,3130,3080,3090,2566.452148,77733900
2020-07-14,3100,3110,3070,3080,2558.146729,111442600
2020-07-15,3120,3130,3080,3090,2566.452148,102304100
2020-07-16,3090,3110,3080,3100,2574.757813,91951000
2020-07-17,3100,3110,3060,3060,2541.535156,112416300
2020-07-20,3080,3080,3040,3060,2541.535156,64735500
2020-07-21,3050,3110,3050,3060,2541.535156,101283800
2020-07-22,3070,3090,3060,3070,2549.840820,69462100
2020-07-23,3070,3090,3060,3070,2549.840820,70482100
2020-07-24,3080,3080,3020,3020,2508.312744,137265100
2020-07-27,3020,3050,3020,3040,2524.923828,58708800
2020-07-28,3050,3050,3010,3020,2508.312744,102705300
2020-07-29,3030,3050,3000,3000,2491.701172,114352000
2020-07-30,3040,3050,3000,3050,2533.229736,95785000
2020-08-03,3060,3060,2850,2920,2425.255859,255659800
2020-08-04,2970,2970,2920,2950,2450.172852,96018000
2020-08-05,2960,3040,2920,3020,2508.312744,120719100
2020-08-06,3050,3050,3000,3020,2508.312744,71699000
2020-08-07,3020,3030,2970,2980,2475.089844,78347200
2020-08-10,3000,3020,2970,2970,2466.784180,65485400
2020-08-11,2980,3000,2930,2930,2433.561523,175693000
2020-08-12,2930,2960,2920,2950,2450.172852,110934800
2020-08-13,2950,3020,2950,3010,2500.006836,160906600
2020-08-14,3020,3040,3000,3030,2516.618164,93007500
2020-08-18,3030,3060,3000,3050,2533.229736,139358500
2020-08-19,3050,3050,3000,3000,2491.701172,103980600
2020-08-24,3010,3020,2990,3000,2491.701172,76713900
2020-08-25,3010,3010,2980,2980,2475.089844,100013600
2020-08-26,2980,3050,2980,3020,2508.312744,122465300
2020-08-27,3020,3040,2970,2990,2483.395508,102787800
2020-08-28,2990,2990,2940,2960,2458.478760,160569500
2020-08-31,2960,2980,2860,2860,2375.421875,204261100
2020-09-01,2900,2910,2860,2900,2408.644531,90565400
2020-09-02,2900,2970,2900,2950,2450.172852,107589800
2020-09-03,2950,2960,2880,2900,2408.644531,123106100
2020-09-04,2850,2890,2840,2860,2375.421875,143569100
2020-09-07,2870,2910,2870,2900,2408.644531,62206600
2020-09-08,2890,2900,2860,2860,2375.421875,80068200
2020-09-09,2850,2860,2800,2800,2325.587646,108397400
2020-09-10,2800,2800,2620,2700,2242.531250,287496300
2020-09-11,2670,2840,2650,2810,2333.893555,197756800
2020-09-14,2830,2890,2820,2890,2400.338623,127562700
2020-09-15,2890,2900,2810,2830,2350.504639,106215900
2020-09-16,2810,2830,2770,2790,2317.281982,68113400
2020-09-17,2810,2850,2780,2820,2342.199219,97257400
2020-09-18,2850,2890,2840,2890,2400.338623,162116700
2020-09-21,2890,2910,2800,2810,2333.893555,100305100
2020-09-22,2790,2810,2750,2780,2308.976563,75891600
2020-09-23,2770,2810,2740,2800,2325.587646,85953300
2020-09-24,2750,2760,2710,2730,2267.448242,74516800
2020-09-25,2720,2740,2670,2690,2234.225586,180968900
2020-09-28,2710,2730,2660,2660,2209.308594,89256700
2020-09-29,2690,2690,2630,2630,2184.391357,155853900
2020-09-30,2630,2650,2540,2560,2126.251709,235611600
2020-10-01,2600,2760,2600,2750,2284.059570,225006000
2020-10-02,2750,2750,2650,2680,2225.919434,140161900
2020-10-05,2690,2710,2640,2650,2201.002686,124720200
2020-10-06,2680,2700,2620,2650,2201.002686,148977400
2020-10-07,2650,2670,2620,2660,2209.308594,110186000
2020-10-08,2670,2720,2650,2700,2242.531250,154587800
2020-10-09,2710,2750,2700,2730,2267.448242,109122300
2020-10-12,2750,2760,2710,2730,2267.448242,77479100
2020-10-13,2730,2740,2680,2730,2267.448242,97205500
2020-10-14,2730,2830,2710,2810,2333.893555,183236500
2020-10-15,2800,2850,2760,2780,2308.976563,138462900
2020-10-16,2780,2780,2720,2750,2284.059570,135175000
2020-10-19,2800,2810,2710,2710,2250.836670,187840500
2020-10-20,2710,2740,2670,2670,2217.614258,168211100
2020-10-21,2680,2710,2670,2680,2225.919434,142146300
2020-10-22,2670,2720,2650,2700,2242.531250,257179400
2020-10-23,2710,2720,2630,2630,2184.391357,166356000
2020-10-26,2630,2680,2630,2650,2201.002686,97523200
2020-10-27,2640,2690,2620,2620,2176.085693,146366600
2020-11-02,2590,2620,2550,2560,2126.251709,391510600
2020-11-03,2570,2590,2540,2580,2142.863037,188874000
2020-11-04,2600,2640,2580,2580,2142.863037,150678200
2020-11-05,2630,2810,2620,2770,2300.670654,369260400
2020-11-06,2800,2840,2750,2830,2350.504639,243865800
2020-11-09,2860,2900,2840,2880,2392.032959,208192700
2020-11-10,2950,2950,2860,2860,2375.421875,195337300
